Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
21,,Halipeurus consimilis,15506,15527,13.80,2,,,,Exact,9.01315,0,"Halipeurus (Halipeurus) consimilis Timmermann, 1960",Halipeurus consimilis,6KYPS,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Psocodea|Troctomorpha|Nanopsocetae|Phthiraptera|Ischnocera|Philopteroidea|Philopteridae|Halipeurus|Halipeurus|Halipeurus consimilis,
22,,Halipeurus pelagicus,41927,41947,13.28,2,,,,Exact,9.01315,0,"Halipeurus (Synnautes) pelagicus (Denny, 1842)",Halipeurus pelagicus,6KYR6,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Psocodea|Troctomorpha|Nanopsocetae|Phthiraptera|Ischnocera|Philopteroidea|Philopteridae|Halipeurus|Halipeurus|Halipeurus pelagicus,
23,,Halipeurus spadix,17883,17902,6.30,2,,,,Exact,9.01315,0,"Halipeurus (Halipeurus) spadix Timmermann, 1961",Halipeurus spadix,6KYRC,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Psocodea|Troctomorpha|Nanopsocetae|Phthiraptera|Ischnocera|Philopteroidea|Philopteridae|Halipeurus|Halipeurus|Halipeurus spadix,
24,,Harrisoniella,24412,24426,5.57,1,,,,Exact,9.01315,0,"Harrisoniella Bedford, 1929",Harrisoniella,8MS78,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Psocodea|Troctomorpha|Nanopsocetae|Phthiraptera|Ischnocera|Philopteroidea|Philopteridae|Harrisoniella,
25,,Harrisoniella hopkinsi,15582,15604,11.74,2,,,,Exact,9.01315,0,"Harrisoniella hopkinsi Eichler, 1952",Harrisoniella hopkinsi,6LG5Y,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Psocodea|Troctomorpha|Nanopsocetae|Phthiraptera|Ischnocera|Philopteroidea|Philopteridae|Harrisoniella|Harrisoniella hopkinsi,
26,,L. dominicanus,31542,31556,7.46,2,,,,NoMatch,0.0,,,,,,,,
27,,Larus dominicanus,14052,14069,12.68,2,,,,Exact,9.01315,0,"Larus dominicanus Lichtenstein, 1823",Larus dominicanus,3SBQ5,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Charadriiformes|Laridae|Larus|Larus dominicanus,
28,,Mantis religiosa,27111,27127,11.46,2,,,,Exact,9.01315,0,"Mantis religiosa (Linne, 1758)",Mantis religiosa,3XWJS,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Mantodea|Eumantodea|Schizomantodea|Artimantodea|Cernomantodea|Mantidae|Mantinae|Mantis|Mantis religiosa,
29,,Megadyptes antipodes,15673,15693,5.97,2,,,,Exact,9.01315,0,"Megadyptes antipodes (Hombron & Jacquinot, 1841)",Megadyptes antipodes,3YTL7,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Sphenisciformes|Spheniscidae|Megadyptes|Megadyptes antipodes,
30,,Mytilus edulis,25228,25242,12.34,2,,,,Exact,9.01315,0,"Mytilus edulis Linnaeus, 1758",Mytilus edulis,73T5L,1,Catalogue of Life,Biota|Animalia|Mollusca|Bivalvia|Autobranchia|Pteriomorphia|Mytilida|Mytiloidea|Mytilidae|Mytilinae|Mytilus|Mytilus edulis,
31,,Nesiotinus demersus,50256,50277,12.98,2,,,,Exact,9.01315,0,"Nesiotinus demersus Kellogg, 1903",Nesiotinus demersus,477C7,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Psocodea|Troctomorpha|Nanopsocetae|Phthiraptera|Ischnocera|Philopteroidea|Philopteridae|Nesiotinus|Nesiotinus demersus,
32,,Oceanites oceanicus,43041,43062,10.37,2,,,,Exact,9.01315,0,"Oceanites oceanicus (Kuhl, 1820)",Oceanites oceanicus,48C3F,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Procellariiformes|Hydrobatidae|Oceanitinae|Oceanites|Oceanites oceanicus,
33,,P. urinatrix,31874,31886,5.96,2,,,,NoMatch,0.0,,,,,,,,
34,,Paraclisis,25448,25459,4.13,1,,,,Exact,9.01315,0,"Paraclisis Timmermann, 1965",Paraclisis,8MTC5,1,Catalogue of Life,Biota|Animalia|Arthropoda|Insecta|Psocodea|Troctomorpha|Nanopsocetae|Phthiraptera|Ischnocera|Philopteroidea|Philopteridae|Paraclisis,
35,,Passer domesticus,43800,43820,9.22,2,,,,Exact,9.01315,0,"Passer domesticus (Linnaeus, 1758)",Passer domesticus,4DXXM,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Passeriformes|Passeridae|Passer|Passer domesticus,
36,,Pelagodroma marina,15795,15813,8.86,2,,,,Exact,9.01315,0,"Pelagodroma marina (Latham, 1790)",Pelagodroma marina,6TY38,1,Catalogue of Life,Biota|Animalia|Chordata|Aves|Procellariiformes|Hydrobatidae|Oceanitinae|Pelagodroma|Pelagodroma marina,
