Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifSortScore,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifClassificationPath,VerifError
94,,Otocyon megalotis,16966,16983,10.42,2,,,,Exact,9.01315,0,"Otocyon megalotis (Desmarest, 1822)",Otocyon megalotis,4B7CH,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Canidae|Otocyon|Otocyon megalotis,
95,,P. euthos,21040,21049,4.97,2,,,,NoMatch,0.0,,,,,,,,
96,,P. leucosteus,20710,20723,6.96,2,,,,NoMatch,0.0,,,,,,,,
97,,P. multicuspus,20687,20701,6.63,2,,,,NoMatch,0.0,,,,,,,,
98,,Pachycrocuta,36011,36024,4.61,1,,,,Exact,8.98392,0,"Pachycrocuta Kretzoi, 1938",Pachycrocuta,urn:lsid:irmng.org:taxname:1015037,181,IRMNG,Biota|Animalia|Chordata|Vertebrata|Mammalia|Carnivora|Hyaenidae|Pachycrocuta,
99,,Panthera,25567,25575,5.16,1,,,,Exact,9.01315,0,"Panthera Oken, 1816",Panthera,6DBT,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Feliformia|Felidae|Pantherinae|Panthera,
100,,Panthera leo,17086,17098,3.53,2,,,,Exact,9.01315,0,"Panthera leo (Linnaeus, 1758)",Panthera leo,4CGXP,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Feliformia|Felidae|Pantherinae|Panthera|Panthera leo,
101,,Panthera pardus,17111,17126,11.70,2,,,,Exact,9.01315,0,"Panthera pardus (Linnaeus, 1758)",Panthera pardus,4CGXR,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Feliformia|Felidae|Pantherinae|Panthera|Panthera pardus,
102,,Paracynarctus sinclairi,20785,20808,11.45,2,,,,Exact,8.98392,0,Paracynarctus sinclairi Wang et al. 1999,Paracynarctus sinclairi,49803,172,PaleoBioDB,||Mammalia|Carnivora|Paracynarctus sinclairi,
103,,Paraenhydrocyon josephi,20261,20284,10.19,2,,,,Exact,8.98392,0,Paraenhydrocyon josephi (Cope 1881),Paraenhydrocyon josephi,49824,172,PaleoBioDB,||Mammalia|Carnivora|Paraenhydrocyon josephi,
104,,Parahyaena,40867,40878,4.90,1,,,,Exact,9.01138,0,"Parahyaena Hendey, 1974",Parahyaena,63JW2,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Feliformia|Hyaenidae|Hyaena,
105,,Parahyaena brunnea,17344,17362,11.50,2,,,,Exact,9.01138,0,"Parahyaena brunnea (Thunberg, 1820)",Parahyaena brunnea,4CX4N,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Feliformia|Hyaenidae|Hyaena|Hyaena brunnea,
106,,Paratomarctus temerarius,21007,21031,13.13,2,,,,Exact,8.98392,0,Paratomarctus temerarius (Leidy 1858),Paratomarctus temerarius,49958,172,PaleoBioDB,||Mammalia|Carnivora|Paratomarctus temerarius,
107,,Percrocuta,35778,35788,4.26,1,,,,Exact,8.98392,0,"Percrocuta Kretzoi, 1938",Percrocuta,urn:lsid:irmng.org:taxname:1208045,181,IRMNG,Biota|Animalia|Chordata|Vertebrata|Mammalia|Carnivora|Hyaenidae|Percrocuta,
108,,Phlaocyon minor,20663,20678,5.50,2,,,,Exact,8.98392,0,Phlaocyon minor (Matthew 1907),Phlaocyon minor,50348,172,PaleoBioDB,||Mammalia|Carnivora|Phlaocyon minor,
109,,Pliocrocuta,35998,36010,4.40,1,,,,Exact,8.98202,0,"Pliocrocuta Kretzoi, 1938",Pliocrocuta,urn:lsid:irmng.org:taxname:1029354,181,IRMNG,Biota|Animalia|Chordata|Vertebrata|Mammalia|Carnivora|Hyaenidae|Hyaena,
110,,Plioviverrops,63022,63035,5.15,1,,,,Exact,8.98392,0,"Plioviverrops Kretzoi, 1938",Plioviverrops,urn:lsid:irmng.org:taxname:1020582,181,IRMNG,Biota|Animalia|Chordata|Vertebrata|Mammalia|Carnivora|Hyaenidae|Plioviverrops,
111,,Plioviverrops orbignyi,21213,21235,10.47,2,,,,Exact,8.98392,0,Plioviverrops orbignyi (Gaudry and Lartet 1856),Plioviverrops orbignyi,374740,172,PaleoBioDB,||Mammalia|Carnivora|Plioviverrops orbignyi,
112,,Procyon lotor,19025,19038,8.06,2,,,,Exact,9.01315,0,"Procyon lotor (Linnaeus, 1758)",Procyon lotor,4MPXY,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Procyonidae|Procyon|Procyon lotor,
113,,Procyonidae,19008,19019,4.91,1,,,,Exact,9.01315,0,"Procyonidae Gray, 1825",Procyonidae,F2C,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Procyonidae,
114,,Prohesperocyon wilsoni,21581,21603,11.04,2,,,,Exact,8.98392,0,Prohesperocyon wilsoni (Gustafson 1986),Prohesperocyon wilsoni,50768,172,PaleoBioDB,||Mammalia|Carnivora|Prohesperocyon wilsoni,
115,,Proteles,45509,45518,2.62,1,,,,Exact,9.01315,0,"Proteles I. Geoffroy Saint-Hilaire, 1824",Proteles,6XF9,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Feliformia|Hyaenidae|Proteles,
116,,Proteles cristatus,17375,17393,10.69,2,,,,Exact,9.01138,0,"Proteles cristatus (Sparrman, 1783)",Proteles cristatus,4N38C,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Feliformia|Hyaenidae|Proteles|Proteles cristata,
117,,Protomarctus optatus,20855,20875,13.47,2,,,,Exact,8.98392,0,Protomarctus optatus (Matthew 1924),Protomarctus optatus,51059,172,PaleoBioDB,||Mammalia|Carnivora|Protomarctus optatus,
118,,Puma concolor,18769,18782,9.88,2,,,,Exact,9.01315,0,"Puma concolor (Linnaeus, 1771)",Puma concolor,4QHKG,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Feliformia|Felidae|Felinae|Puma|Puma concolor,
119,,Raia,14667,14671,2.89,1,,,,Exact,8.98392,0,Raia Cothen.,Raia,40022275,165,Tropicos,,
120,,Rhizocyon oregonensis,20630,20651,10.94,2,,,,Exact,8.98392,0,Rhizocyon oregonensis (Merriam 1906),Rhizocyon oregonensis,51357,172,PaleoBioDB,||Mammalia|Carnivora|Rhizocyon oregonensis,
121,,Smilodon fatalis,9518,9535,9.86,2,,,,Exact,8.98392,0,Smilodon fatalis (Leidy 1868),Smilodon fatalis,51613,172,PaleoBioDB,||Mammalia|Carnivora|Smilodon fatalis,
122,,Taxidea taxus,18986,18999,9.80,2,,,,Exact,9.01315,0,"Taxidea taxus (Schreber, 1777)",Taxidea taxus,54ZSX,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Mustelidae|Taxidiinae|Taxidea|Taxidea taxus,
123,,Tomarctus brevirostris,20887,20909,13.13,2,,,,Exact,8.98392,0,Tomarctus brevirostris Cope 1873,Tomarctus brevirostris,52374,172,PaleoBioDB,||Mammalia|Carnivora|Tomarctus brevirostris,
124,,Tungurictis,41968,41979,4.73,1,,,,Exact,8.98392,0,"Tungurictis Colbert, 1939",Tungurictis,urn:lsid:irmng.org:taxname:1194697,181,IRMNG,Biota|Animalia|Chordata|Vertebrata|Mammalia|Carnivora|Hyaenidae|Tungurictis,
125,,Tungurictis spocki,21249,21267,10.32,2,,,,Exact,8.98392,0,Tungurictis spocki Colbert 1939,Tungurictis spocki,444065,172,PaleoBioDB,||Mammalia|Carnivora|Tungurictis spocki,
126,,Urocyon cinereoargenetus,18644,18668,7.11,2,,,,Fuzzy,8.74241,1,Urocyon cinereoargentus,Urocyon cinereoargentus,4908721,168,ION,,
127,,Ursidae,19047,19054,4.19,1,,,,Exact,9.01315,0,"Ursidae Fischer de Waldheim, 1817",Ursidae,HQQ,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Ursidae,
128,,Ursus,25406,25411,2.60,1,,,,Exact,9.01315,0,"Ursus Linnaeus, 1758",Ursus,63VHR,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Ursidae|Ursus,
129,,Ursus americanus,19061,19077,10.29,2,,,,Exact,9.01315,0,"Ursus americanus Pallas, 1780",Ursus americanus,7F2KC,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Ursidae|Ursus|Ursus americanus,
130,,Ursus arctos,19094,19106,7.80,2,,,,Exact,9.01315,0,"Ursus arctos Linnaeus, 1758",Ursus arctos,7F2KB,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Ursidae|Ursus|Ursus arctos,
131,,Viverridae,17515,17525,5.33,1,,,,Exact,9.01315,0,"Viverridae Gray, 1821",Viverridae,626SP,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Feliformia|Viverridae,
132,,Vulpes,5553,5559,3.16,1,,,,Exact,9.01315,0,"Vulpes Frisch, 1775",Vulpes,87C5,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Canidae|Vulpes,
133,,Vulpes vulpes,18680,18693,8.93,2,,,,Exact,9.01315,0,"Vulpes vulpes (Linnaeus, 1758)",Vulpes vulpes,5BSG3,1,Catalogue of Life,Biota|Animalia|Chordata|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Canidae|Vulpes|Vulpes vulpes,
